"","date","name","id","value"
"1",2008-01-31,"bud","1",-0.25
"2",2008-02-29,"bud","1",-0.09
"3",2008-03-31,"bud","1",-0.03
"4",2008-04-30,"bud","1",0.58
"5",2008-05-31,"bud","1",-0.48
"6",2008-06-30,"bud","1",-0.01
"7",2008-07-31,"bud","1",0.67
"8",2008-08-31,"bud","1",-0.58
"9",2008-09-30,"bud","1",0.03
"10",2008-10-31,"bud","1",0.22
"11",2008-11-30,"bud","1",-0.5
"12",2008-12-31,"bud","1",0.07
"13",2009-01-31,"bud","1",0.23
"14",2009-02-28,"bud","1",-0.54
"15",2009-03-31,"bud","1",0.13
"16",2009-04-30,"bud","1",-0.05
"17",2009-05-31,"bud","1",-0.15
"18",2009-06-30,"bud","1",0.23
"19",2009-07-31,"bud","1",0.18
"20",2009-08-31,"bud","1",0.28
"21",2009-09-30,"bud","1",-0.1
"22",2009-10-31,"bud","1",-0.12
"23",2009-11-30,"bud","1",-0.02
"24",2009-12-31,"bud","1",0.3
"25",2010-01-31,"bud","1",-0.19
"26",2010-02-28,"bud","1",-0.26
"27",2010-03-31,"bud","1",0.12
"28",2010-04-30,"bud","1",0.03
"29",2010-05-31,"bud","1",-0.14
"30",2010-06-30,"bud","1",0.33
"31",2010-07-31,"bud","1",-0.19
"32",2010-08-31,"bud","1",-0.03
"33",2010-09-30,"bud","1",0.1
"34",2010-10-31,"bud","1",0.01
"35",2010-11-30,"bud","1",0
"36",2010-12-31,"bud","1",0.21
"37",2011-01-31,"bud","1",-0.08
"38",2011-02-28,"bud","1",-0.14
"39",2011-03-31,"bud","1",0.24
"40",2011-04-30,"bud","1",0.07
"41",2011-05-31,"bud","1",-0.1
"42",2011-06-30,"bud","1",0.25
"43",2011-07-31,"bud","1",-0.18
"44",2011-08-31,"bud","1",0.06
"45",2011-09-30,"bud","1",0.01
"46",2011-10-31,"bud","1",0.03
"47",2011-11-30,"bud","1",-0.11
"48",2011-12-31,"bud","1",0.26
"49",2012-01-31,"bud","1",-0.13
"50",2012-02-29,"bud","1",-0.27
"51",2012-03-31,"bud","1",0.31
"52",2012-04-30,"bud","1",-0.01
"53",2012-05-31,"bud","1",-0.06
"54",2012-06-30,"bud","1",0.09
"55",2012-07-31,"bud","1",-0.07
"56",2012-08-31,"bud","1",0.06
"57",2012-09-30,"bud","1",-0.07
"58",2012-10-31,"bud","1",0.03
"59",2012-11-30,"bud","1",-0.12
"60",2012-12-31,"bud","1",0.42
"61",2013-01-31,"bud","1",-0.28
"62",2013-02-28,"bud","1",-0.21
"63",2013-03-31,"bud","1",0.24
"64",2013-04-30,"bud","1",0
"65",2013-05-31,"bud","1",-0.23
"66",2013-06-30,"bud","1",0.25
"67",2013-07-31,"bud","1",-0.06
"68",2013-08-31,"bud","1",0.01
"69",2013-09-30,"bud","1",0.09
"70",2013-10-31,"bud","1",-0.04
"71",2013-11-30,"bud","1",-0.11
"72",2013-12-31,"bud","1",0.21
"73",2014-01-31,"bud","1",0.05
"74",2014-02-28,"bud","1",-0.24
"75",2014-03-31,"bud","1",0.1
"76",2014-04-30,"bud","1",0.07
"77",2014-05-31,"bud","1",-0.09
"78",2014-06-30,"bud","1",0.09
"79",2014-07-31,"bud","1",-0.09
"80",2014-08-31,"bud","1",0.04
"81",2014-09-30,"bud","1",0.06
"82",2014-10-31,"bud","1",-0.05
"83",2014-11-30,"bud","1",-0.12
"84",2014-12-31,"bud","1",0.38
"85",2015-01-31,"bud","1",-0.15
"86",2015-02-28,"bud","1",-0.33
"87",2015-03-31,"bud","1",0.19
"88",2015-04-30,"bud","1",-0.04
"89",2015-05-31,"bud","1",-0.32
"90",2015-06-30,"bud","1",0.44
"91",2015-07-31,"bud","1",-0.07
"92",2015-08-31,"bud","1",-0.01
"93",2015-09-30,"bud","1",0.02
"94",2015-10-31,"bud","1",0.01
"95",2015-11-30,"bud","1",-0.35
"96",2015-12-31,"bud","1",0.57
"97",2016-01-31,"bud","1",-0.3
"98",2016-02-29,"bud","1",-0.38
"99",2016-03-31,"bud","1",0.36
"100",2016-04-30,"bud","1",-0.07
"101",2016-05-31,"bud","1",-0.31
"102",2016-06-30,"bud","1",0.51
"103",2016-07-31,"bud","1",-0.1
"104",2016-08-31,"bud","1",0.06
"105",2016-09-30,"bud","1",-0.02
"106",2016-10-31,"bud","1",0
"107",2016-11-30,"bud","1",-0.14
"108",2016-12-31,"bud","1",0.71
"109",2017-01-31,"bud","1",-0.47
"110",2017-02-28,"bud","1",-0.21
"111",2017-03-31,"bud","1",0.27
"112",2017-04-30,"bud","1",-0.17
"113",2017-05-31,"bud","1",-0.06
"114",2017-06-30,"bud","1",0.19
"115",2017-07-31,"bud","1",-0.03
"116",2017-08-31,"bud","1",-0.01
"117",2017-09-30,"bud","1",0.1
"118",2017-10-31,"bud","1",-0.04
"119",2017-11-30,"bud","1",-0.15
"120",2017-12-31,"bud","1",0.39
"121",2018-01-31,"bud","1",-0.25
"122",2018-02-28,"bud","1",-0.06
"123",2018-03-31,"bud","1",0.23
"124",2018-04-30,"bud","1",-0.06
"125",2018-05-31,"bud","1",-0.05
"126",2018-06-30,"bud","1",0.21
"127",2018-07-31,"bud","1",0.09
"128",2018-08-31,"bud","1",-0.08
"129",2018-09-30,"bud","1",0.02
"130",2018-10-31,"bud","1",0.03
"131",2018-11-30,"bud","1",-0.09
"132",2018-12-31,"bud","1",0.19
"133",2019-01-31,"bud","1",-0.3
"134",2019-02-28,"bud","1",-0.09
"135",2019-03-31,"bud","1",0.25
"136",2019-04-30,"bud","1",0.01
"137",2019-05-31,"bud","1",-0.16
"138",2019-06-30,"bud","1",0.11
"139",2019-07-31,"bud","1",0.13
"140",2019-08-31,"bud","1",-0.07
"141",2019-09-30,"bud","1",0
"142",2019-10-31,"bud","1",-0.08
"143",2019-11-30,"bud","1",-0.19
"144",2019-12-31,"bud","1",0.47
"145",2020-01-31,"bud","1",-0.33
"146",2020-02-29,"bud","1",-0.21
"147",2020-03-31,"bud","1",0.42
"148",2020-04-30,"bud","1",0.17
"149",2020-05-31,"bud","1",-0.94
"150",2020-06-30,"bud","1",0.3
"151",2020-07-31,"bud","1",0.09
"152",2020-08-31,"bud","1",-0.01
"153",2020-09-30,"bud","1",0.17
"154",2020-10-31,"bud","1",0.23
"155",2020-11-30,"bud","1",-0.33
"156",2020-12-31,"bud","1",0.45
"157",2021-01-31,"bud","1",-0.37
"158",2021-02-28,"bud","1",-0.18
"159",2021-03-31,"bud","1",0.71
"160",2021-04-30,"bud","1",-0.15
"161",2021-05-31,"bud","1",-0.18
"162",2021-06-30,"bud","1",0.06
"163",2021-07-31,"bud","1",0.2
"164",2021-08-31,"bud","1",-0.15
"165",2021-09-30,"bud","1",0.08
"166",2021-10-31,"bud","1",0.12
"167",2021-11-30,"bud","1",-0.22
"168",2021-12-31,"bud","1",0.35
"169",2022-01-31,"bud","1",-0.31
"170",2022-02-28,"bud","1",0.01
"171",2022-03-31,"bud","1",0.33
"172",2022-04-30,"bud","1",-0.03
"173",2022-05-31,"bud","1",-0.36
"174",2022-06-30,"bud","1",-0.02
"175",2022-07-31,"bud","1",-0.12
"176",2022-08-31,"bud","1",0.04
"177",2022-09-30,"bud","1",0.15
"178",2022-10-31,"bud","1",0.12
"179",2022-11-30,"bud","1",0.1
"180",2022-12-31,"bud","1",0.14
"181",2023-01-31,"bud","1",-0.81
"182",2023-02-28,"bud","1",0.29
"183",2023-03-31,"bud","1",0.33
"184",2023-04-30,"bud","1",-0.18
"185",2023-05-31,"bud","1",-0.04
"186",2023-06-30,"bud","1",0.23
"187",2023-07-31,"bud","1",-0.18
"188",2023-08-31,"bud","1",0.14
"189",2023-09-30,"bud","1",0.11
"190",2023-10-31,"bud","1",0.21
"191",2023-11-30,"bud","1",-0.17
"192",2023-12-31,"bud","1",0.11
"193",2008-01-31,"ngz","2",-0.03
"194",2008-02-29,"ngz","2",0.2
"195",2008-03-31,"ngz","2",-0.12
"196",2008-04-30,"ngz","2",0.05
"197",2008-05-31,"ngz","2",0.06
"198",2008-06-30,"ngz","2",0.06
"199",2008-07-31,"ngz","2",0.15
"200",2008-08-31,"ngz","2",-0.05
"201",2008-09-30,"ngz","2",0.01
"202",2008-10-31,"ngz","2",-0.06
"203",2008-11-30,"ngz","2",-0.31
"204",2008-12-31,"ngz","2",-0.22
"205",2009-01-31,"ngz","2",-0.31
"206",2009-02-28,"ngz","2",-0.08
"207",2009-03-31,"ngz","2",0
"208",2009-04-30,"ngz","2",0.02
"209",2009-05-31,"ngz","2",0.04
"210",2009-06-30,"ngz","2",0.13
"211",2009-07-31,"ngz","2",0.31
"212",2009-08-31,"ngz","2",0.13
"213",2009-09-30,"ngz","2",0.15
"214",2009-10-31,"ngz","2",-0.2
"215",2009-11-30,"ngz","2",0.03
"216",2009-12-31,"ngz","2",0.24
"217",2010-01-31,"ngz","2",-0.27
"218",2010-02-28,"ngz","2",0.02
"219",2010-03-31,"ngz","2",-0.06
"220",2010-04-30,"ngz","2",-0.04
"221",2010-05-31,"ngz","2",0.16
"222",2010-06-30,"ngz","2",0.01
"223",2010-07-31,"ngz","2",-0.02
"224",2010-08-31,"ngz","2",0
"225",2010-09-30,"ngz","2",-0.02
"226",2010-10-31,"ngz","2",0.04
"227",2010-11-30,"ngz","2",0.09
"228",2010-12-31,"ngz","2",0.21
"229",2011-01-31,"ngz","2",-0.19
"230",2011-02-28,"ngz","2",-0.05
"231",2011-03-31,"ngz","2",0.27
"232",2011-04-30,"ngz","2",0.01
"233",2011-05-31,"ngz","2",0.09
"234",2011-06-30,"ngz","2",-0.03
"235",2011-07-31,"ngz","2",0.01
"236",2011-08-31,"ngz","2",0.02
"237",2011-09-30,"ngz","2",-0.02
"238",2011-10-31,"ngz","2",0.13
"239",2011-11-30,"ngz","2",-0.04
"240",2011-12-31,"ngz","2",0.11
"241",2012-01-31,"ngz","2",-0.09
"242",2012-02-29,"ngz","2",-0.09
"243",2012-03-31,"ngz","2",0.09
"244",2012-04-30,"ngz","2",0.06
"245",2012-05-31,"ngz","2",0.04
"246",2012-06-30,"ngz","2",-0.08
"247",2012-07-31,"ngz","2",-0.06
"248",2012-08-31,"ngz","2",-0.04
"249",2012-09-30,"ngz","2",0.05
"250",2012-10-31,"ngz","2",0.04
"251",2012-11-30,"ngz","2",0.05
"252",2012-12-31,"ngz","2",0.08
"253",2013-01-31,"ngz","2",-0.27
"254",2013-02-28,"ngz","2",0.09
"255",2013-03-31,"ngz","2",0.03
"256",2013-04-30,"ngz","2",0.1
"257",2013-05-31,"ngz","2",-0.11
"258",2013-06-30,"ngz","2",-0.07
"259",2013-07-31,"ngz","2",0.1
"260",2013-08-31,"ngz","2",0.02
"261",2013-09-30,"ngz","2",0.09
"262",2013-10-31,"ngz","2",-0.01
"263",2013-11-30,"ngz","2",-0.01
"264",2013-12-31,"ngz","2",0.02
"265",2014-01-31,"ngz","2",0.04
"266",2014-02-28,"ngz","2",0.01
"267",2014-03-31,"ngz","2",-0.04
"268",2014-04-30,"ngz","2",0.15
"269",2014-05-31,"ngz","2",-0.09
"270",2014-06-30,"ngz","2",-0.13
"271",2014-07-31,"ngz","2",0.1
"272",2014-08-31,"ngz","2",-0.06
"273",2014-09-30,"ngz","2",0.06
"274",2014-10-31,"ngz","2",0.02
"275",2014-11-30,"ngz","2",-0.02
"276",2014-12-31,"ngz","2",0.17
"277",2015-01-31,"ngz","2",-0.32
"278",2015-02-28,"ngz","2",0.01
"279",2015-03-31,"ngz","2",-0.05
"280",2015-04-30,"ngz","2",-0.05
"281",2015-05-31,"ngz","2",-0.04
"282",2015-06-30,"ngz","2",0.11
"283",2015-07-31,"ngz","2",0.05
"284",2015-08-31,"ngz","2",0
"285",2015-09-30,"ngz","2",-0.1
"286",2015-10-31,"ngz","2",-0.04
"287",2015-11-30,"ngz","2",-0.04
"288",2015-12-31,"ngz","2",0.03
"289",2016-01-31,"ngz","2",-0.2
"290",2016-02-29,"ngz","2",-0.16
"291",2016-03-31,"ngz","2",-0.04
"292",2016-04-30,"ngz","2",0.07
"293",2016-05-31,"ngz","2",0.11
"294",2016-06-30,"ngz","2",0.15
"295",2016-07-31,"ngz","2",0.05
"296",2016-08-31,"ngz","2",-0.01
"297",2016-09-30,"ngz","2",-0.03
"298",2016-10-31,"ngz","2",0.02
"299",2016-11-30,"ngz","2",0.13
"300",2016-12-31,"ngz","2",0
"301",2017-01-31,"ngz","2",-0.02
"302",2017-02-28,"ngz","2",0.09
"303",2017-03-31,"ngz","2",-0.05
"304",2017-04-30,"ngz","2",-0.1
"305",2017-05-31,"ngz","2",0.02
"306",2017-06-30,"ngz","2",-0.04
"307",2017-07-31,"ngz","2",-0.08
"308",2017-08-31,"ngz","2",0.08
"309",2017-09-30,"ngz","2",0.09
"310",2017-10-31,"ngz","2",0.05
"311",2017-11-30,"ngz","2",0.09
"312",2017-12-31,"ngz","2",0.11
"313",2018-01-31,"ngz","2",0.04
"314",2018-02-28,"ngz","2",-0.05
"315",2018-03-31,"ngz","2",-0.1
"316",2018-04-30,"ngz","2",0.1
"317",2018-05-31,"ngz","2",0.08
"318",2018-06-30,"ngz","2",0.1
"319",2018-07-31,"ngz","2",-0.01
"320",2018-08-31,"ngz","2",0.09
"321",2018-09-30,"ngz","2",-0.02
"322",2018-10-31,"ngz","2",0.14
"323",2018-11-30,"ngz","2",0.04
"324",2018-12-31,"ngz","2",-0.14
"325",2019-01-31,"ngz","2",-0.21
"326",2019-02-28,"ngz","2",0.01
"327",2019-03-31,"ngz","2",-0.09
"328",2019-04-30,"ngz","2",0.15
"329",2019-05-31,"ngz","2",-0.04
"330",2019-06-30,"ngz","2",0.01
"331",2019-07-31,"ngz","2",-0.06
"332",2019-08-31,"ngz","2",-0.06
"333",2019-09-30,"ngz","2",-0.04
"334",2019-10-31,"ngz","2",0.11
"335",2019-11-30,"ngz","2",-0.13
"336",2019-12-31,"ngz","2",0.11
"337",2020-01-31,"ngz","2",-0.07
"338",2020-02-29,"ngz","2",-0.01
"339",2020-03-31,"ngz","2",-0.08
"340",2020-04-30,"ngz","2",-0.26
"341",2020-05-31,"ngz","2",-0.71
"342",2020-06-30,"ngz","2",0.05
"343",2020-07-31,"ngz","2",0.42
"344",2020-08-31,"ngz","2",0.17
"345",2020-09-30,"ngz","2",0.1
"346",2020-10-31,"ngz","2",0.06
"347",2020-11-30,"ngz","2",-0.04
"348",2020-12-31,"ngz","2",0
"349",2021-01-31,"ngz","2",0.08
"350",2021-02-28,"ngz","2",0.1
"351",2021-03-31,"ngz","2",0.07
"352",2021-04-30,"ngz","2",0.43
"353",2021-05-31,"ngz","2",-0.37
"354",2021-06-30,"ngz","2",0.05
"355",2021-07-31,"ngz","2",0.43
"356",2021-08-31,"ngz","2",-0.36
"357",2021-09-30,"ngz","2",0.03
"358",2021-10-31,"ngz","2",0.43
"359",2021-11-30,"ngz","2",-0.22
"360",2021-12-31,"ngz","2",-0.01
"361",2022-01-31,"ngz","2",-0.1
"362",2022-02-28,"ngz","2",0.2
"363",2022-03-31,"ngz","2",0.22
"364",2022-04-30,"ngz","2",0.41
"365",2022-05-31,"ngz","2",-0.73
"366",2022-06-30,"ngz","2",-0.19
"367",2022-07-31,"ngz","2",0.08
"368",2022-08-31,"ngz","2",-0.15
"369",2022-09-30,"ngz","2",0.03
"370",2022-10-31,"ngz","2",0.62
"371",2022-11-30,"ngz","2",-0.39
"372",2022-12-31,"ngz","2",0.07
"373",2023-01-31,"ngz","2",-0.78
"374",2023-02-28,"ngz","2",0.2
"375",2023-03-31,"ngz","2",0.28
"376",2023-04-30,"ngz","2",-0.06
"377",2023-05-31,"ngz","2",-0.13
"378",2023-06-30,"ngz","2",-0.08
"379",2023-07-31,"ngz","2",0.43
"380",2023-08-31,"ngz","2",-0.23
"381",2023-09-30,"ngz","2",0.14
"382",2023-10-31,"ngz","2",0.79
"383",2023-11-30,"ngz","2",-0.48
"384",2023-12-31,"ngz","2",-0.53
"385",2008-01-31,"vnt","3",0.24
"386",2008-02-29,"vnt","3",-2.93
"387",2008-03-31,"vnt","3",1.69
"388",2008-04-30,"vnt","3",2.04
"389",2008-05-31,"vnt","3",-2.24
"390",2008-06-30,"vnt","3",-0.54
"391",2008-07-31,"vnt","3",2.88
"392",2008-08-31,"vnt","3",-2.52
"393",2008-09-30,"vnt","3",0.16
"394",2008-10-31,"vnt","3",1.61
"395",2008-11-30,"vnt","3",-1.46
"396",2008-12-31,"vnt","3",0.25
"397",2009-01-31,"vnt","3",0.89
"398",2009-02-28,"vnt","3",-0.54
"399",2009-03-31,"vnt","3",0.33
"400",2009-04-30,"vnt","3",-0.35
"401",2009-05-31,"vnt","3",-0.32
"402",2009-06-30,"vnt","3",0.11
"403",2009-07-31,"vnt","3",0.46
"404",2009-08-31,"vnt","3",-0.18
"405",2009-09-30,"vnt","3",0.15
"406",2009-10-31,"vnt","3",0.04
"407",2009-11-30,"vnt","3",-0.33
"408",2009-12-31,"vnt","3",0.24
"409",2010-01-31,"vnt","3",0.46
"410",2010-02-28,"vnt","3",-0.53
"411",2010-03-31,"vnt","3",0.36
"412",2010-04-30,"vnt","3",-0.23
"413",2010-05-31,"vnt","3",-0.45
"414",2010-06-30,"vnt","3",0.37
"415",2010-07-31,"vnt","3",0.16
"416",2010-08-31,"vnt","3",-0.29
"417",2010-09-30,"vnt","3",0.49
"418",2010-10-31,"vnt","3",-0.01
"419",2010-11-30,"vnt","3",-0.6
"420",2010-12-31,"vnt","3",0.62
"421",2011-01-31,"vnt","3",0.16
"422",2011-02-28,"vnt","3",-0.59
"423",2011-03-31,"vnt","3",0.61
"424",2011-04-30,"vnt","3",0.06
"425",2011-05-31,"vnt","3",-0.42
"426",2011-06-30,"vnt","3",0.42
"427",2011-07-31,"vnt","3",-0.11
"428",2011-08-31,"vnt","3",-0.15
"429",2011-09-30,"vnt","3",0.28
"430",2011-10-31,"vnt","3",-0.2
"431",2011-11-30,"vnt","3",-0.6
"432",2011-12-31,"vnt","3",0.89
"433",2012-01-31,"vnt","3",-0.18
"434",2012-02-29,"vnt","3",-0.76
"435",2012-03-31,"vnt","3",1.05
"436",2012-04-30,"vnt","3",-0.11
"437",2012-05-31,"vnt","3",-0.39
"438",2012-06-30,"vnt","3",0.45
"439",2012-07-31,"vnt","3",-0.17
"440",2012-08-31,"vnt","3",-0.3
"441",2012-09-30,"vnt","3",0.41
"442",2012-10-31,"vnt","3",-0.11
"443",2012-11-30,"vnt","3",-0.83
"444",2012-12-31,"vnt","3",1.09
"445",2013-01-31,"vnt","3",-0.2
"446",2013-02-28,"vnt","3",-0.78
"447",2013-03-31,"vnt","3",1.02
"448",2013-04-30,"vnt","3",-0.37
"449",2013-05-31,"vnt","3",-0.35
"450",2013-06-30,"vnt","3",0.72
"451",2013-07-31,"vnt","3",-0.36
"452",2013-08-31,"vnt","3",-0.49
"453",2013-09-30,"vnt","3",0.79
"454",2013-10-31,"vnt","3",-0.25
"455",2013-11-30,"vnt","3",-0.37
"456",2013-12-31,"vnt","3",0.6
"457",2014-01-31,"vnt","3",0
"458",2014-02-28,"vnt","3",-0.59
"459",2014-03-31,"vnt","3",0.69
"460",2014-04-30,"vnt","3",-0.09
"461",2014-05-31,"vnt","3",-0.42
"462",2014-06-30,"vnt","3",0.52
"463",2014-07-31,"vnt","3",-0.31
"464",2014-08-31,"vnt","3",-0.31
"465",2014-09-30,"vnt","3",0.72
"466",2014-10-31,"vnt","3",-0.45
"467",2014-11-30,"vnt","3",-0.33
"468",2014-12-31,"vnt","3",0.77
"469",2015-01-31,"vnt","3",-0.13
"470",2015-02-28,"vnt","3",-0.56
"471",2015-03-31,"vnt","3",0.86
"472",2015-04-30,"vnt","3",-0.07
"473",2015-05-31,"vnt","3",-0.91
"474",2015-06-30,"vnt","3",0.79
"475",2015-07-31,"vnt","3",-0.09
"476",2015-08-31,"vnt","3",-0.64
"477",2015-09-30,"vnt","3",0.8
"478",2015-10-31,"vnt","3",-0.14
"479",2015-11-30,"vnt","3",-1.48
"480",2015-12-31,"vnt","3",1.62
"481",2016-01-31,"vnt","3",0.17
